intersection	RosaTE.fna.gz.nucl	SINEs.plants.fna.gz.nucl	SoyBaseTE.fna.gz.nucl	TAIR10_TE.fna.gz.nucl	arabidopsis_thaliana.cdna.fna.gz.nucl	brachypodium_distachyon.cdna.fna.gz.nucl	brassica_napus.cdna.fna.gz.nucl	glycine_max.cdna.fna.gz.nucl	helianthus_annuus.cdna.fna.gz.nucl	hordeum_vulgare.cdna.fna.gz.nucl	maizeTE11122019.fna.gz.nucl	medicago_truncatula.cdna.fna.gz.nucl	melonV4_teannot_refTEs.fa.gz.nucl	mipsREdat_9.3p_ALL.fasta.gz.nucl	oryza_sativa_japonica.cdna.fna.gz.nucl	phaseolus_vulgaris.cdna.fna.gz.nucl	populus_trichocarpa.cdna.fna.gz.nucl	repetDB.Mar2020.fna.gz.nucl	rice6.9.5.liban.fna.gz.nucl	solanum_lycopersicum.cdna.fna.gz.nucl	sorghum_bicolor.cdna.fna.gz.nucl	sunflowerTE.fna.gz.nucl	sunrep1.0.fna.gz.nucl	trep-db_nr_Rel-19.fasta.gz.nucl	vitis_vinifera.cdna.fna.gz.nucl	zea_mays.cdna.fna.gz.nucl
RosaTE.fna.gz.nucl	252420	0	0	0	4	1	6	5	3	3	0	10	0	3	1	2	5	10	0	8	1	6	1	0	5	2
SINEs.plants.fna.gz.nucl	0	60	0	0	0	2	2	0	0	0	0	6	0	6	1	0	3	3	4	0	0	0	0	2	0	0
SoyBaseTE.fna.gz.nucl	0	0	23608	0	0	0	0	379	0	0	0	1	0	1822	0	1	0	0	0	0	0	0	0	0	0	0
TAIR10_TE.fna.gz.nucl	0	0	0	21814	919	0	5	0	0	0	0	0	0	225	0	0	0	403	0	0	0	1	1	16	0	0
arabidopsis_thaliana.cdna.fna.gz.nucl	4	0	0	919	26746	4	82	10	27	14	0	9	1	53	12	7	11	148	0	40	7	6	1	2	18	13
brachypodium_distachyon.cdna.fna.gz.nucl	1	2	0	0	4	33049	5	2	6	51	0	23	1	105	34	3	2	8	0	7	29	5	0	73	3	42
brassica_napus.cdna.fna.gz.nucl	6	2	0	5	82	5	73518	10	25	15	0	11	1	7	8	12	15	425	0	20	8	10	1	0	18	11
glycine_max.cdna.fna.gz.nucl	5	0	379	0	10	2	10	51757	9	8	0	14	0	107	4	63	7	7	0	9	3	4	0	0	9	5
helianthus_annuus.cdna.fna.gz.nucl	3	0	0	0	27	6	25	9	46033	14	0	11	1	3	12	8	10	7	0	24	8	2935	877	0	20	13
hordeum_vulgare.cdna.fna.gz.nucl	3	0	0	0	14	51	15	8	14	32595	0	35	2	108	65	6	7	34	0	16	34	5	1	47	14	81
maizeTE11122019.fna.gz.nucl	0	0	0	0	0	0	0	0	0	0	1242	0	0	368	0	0	0	365	0	0	6	0	0	13	0	101
medicago_truncatula.cdna.fna.gz.nucl	10	6	1	0	9	23	11	14	11	35	0	47468	2	139	23	6	6	12	0	25	14	8	0	1	12	28
melonV4_teannot_refTEs.fa.gz.nucl	0	0	0	0	1	1	1	0	1	2	0	2	1308	3	1	1	1	1	0	1	1	2	0	0	2	1
mipsREdat_9.3p_ALL.fasta.gz.nucl	3	6	1822	225	53	105	7	107	3	108	368	139	3	40804	78	7	3	1897	340	173	175	5	2	782	5	131
oryza_sativa_japonica.cdna.fna.gz.nucl	1	1	0	0	12	34	8	4	12	65	0	23	1	78	33137	3	2	16	261	12	30	2	0	48	6	67
phaseolus_vulgaris.cdna.fna.gz.nucl	2	0	1	0	7	3	12	63	8	6	0	6	1	7	3	27065	6	7	0	8	6	5	1	0	8	3
populus_trichocarpa.cdna.fna.gz.nucl	5	3	0	0	11	2	15	7	10	7	0	6	1	3	2	6	37933	5	0	7	4	7	0	0	9	3
repetDB.Mar2020.fna.gz.nucl	10	3	0	403	148	8	425	7	7	34	365	12	1	1897	16	7	5	28171	0	12	14	2	1	84	286	298
rice6.9.5.liban.fna.gz.nucl	0	4	0	0	0	0	0	0	0	0	0	0	0	340	261	0	0	0	2233	0	1	0	0	82	0	0
solanum_lycopersicum.cdna.fna.gz.nucl	8	0	0	0	40	7	20	9	24	16	0	25	1	173	12	8	7	12	0	32542	8	8	0	0	18	14
sorghum_bicolor.cdna.fna.gz.nucl	1	0	0	0	7	29	8	3	8	34	6	14	1	175	30	6	4	14	1	8	32580	4	0	4	6	959
sunflowerTE.fna.gz.nucl	6	0	0	1	6	5	10	4	2935	5	0	8	2	5	2	5	7	2	0	8	4	59605	2985	0	9	3
sunrep1.0.fna.gz.nucl	1	0	0	1	1	0	1	0	877	1	0	0	0	2	0	1	0	1	0	0	0	2985	42998	0	0	0
trep-db_nr_Rel-19.fasta.gz.nucl	0	2	0	16	2	73	0	0	0	47	13	1	0	782	48	0	0	84	82	0	4	0	0	1573	0	5
vitis_vinifera.cdna.fna.gz.nucl	5	0	0	0	18	3	18	9	20	14	0	12	2	5	6	8	9	286	0	18	6	9	0	0	27137	8
zea_mays.cdna.fna.gz.nucl	2	0	0	0	13	42	11	5	13	81	101	28	1	131	67	3	3	298	0	14	959	3	0	5	8	34332
