g1	g2	g3	g4	g5	g6	g7	g8	g9	g10	g11	
34780	23803	17522	13330	11756	11064	9169	8852	8637	8500	8345	
30443	22500	15880	11862	11465	9887	9258	8986	8770	8627	8345	
29680	21551	17798	16864	12891	11450	11221	9239	9006	8875	8345	
33186	19714	15880	11862	11465	10989	10654	9924	9006	8461	8345	
34439	21831	19958	18151	14094	13657	10957	9757	8761	8462	8345	
29680	21656	16495	15629	14930	13947	11209	10101	9025	8875	8345	
38159	23803	20518	15444	12623	11190	10656	10372	10152	9757	8345	
28230	15497	13076	12209	11842	10370	10056	9024	8838	8627	8345	
38159	23803	16803	12549	11842	10439	9276	8887	8700	8500	8345	
30688	17486	15674	14638	13541	13130	12465	12139	9942	8462	8345	
