g1	g2	g3	g4	g5	g6	g7	g8	g9	g10	g11	
28336	23806	17510	13351	11778	11098	9186	8855	8632	8504	8346	
28512	18181	14903	14054	13485	13034	12698	11595	10989	9074	8346	
33247	19680	17500	16238	12935	10781	10046	9801	9593	9263	8346	
25167	20804	18968	13252	12679	11031	10233	9217	9004	8461	8346	
25228	20841	17354	13597	10767	10411	10158	9406	8611	8484	8346	
28336	18047	14974	13612	12920	10298	9964	9767	8765	8632	8346	
33247	23830	18288	16374	12663	12012	11639	9506	9236	9074	8346	
25228	17292	15684	14891	12908	11903	11639	10570	10285	10088	8346	
31112	20841	19306	18165	15202	12632	11180	10890	10725	10088	8346	
28336	22466	19488	18168	14801	14034	13668	11136	10914	9263	8346	
