g1	g2	g3	g4	g5	g6	g7	g8	g9	g10	g11	
34780	49136	58614	64699	68355	73560	78977	82646	85912	88490	91161	
30443	41129	47325	54439	61679	70752	77941	81356	84431	86753	91161	
29680	42568	48816	54315	60851	70021	76154	79743	82214	84641	91161	
33186	41702	47325	54439	61679	65745	68762	73481	82214	88898	91161	
34439	47388	54104	57926	62142	64997	70834	73256	81776	86253	91161	
29680	43821	49746	58552	62817	65792	71224	80050	82420	84641	91161	
38159	49136	56885	61598	70590	73241	78149	81735	84150	86359	91161	
28230	41432	53234	60452	67152	75810	79656	81996	84611	86753	91161	
38159	49136	56082	61892	67471	70069	78621	83332	86147	88490	91161	
30688	43645	53212	57804	65948	69553	74490	77704	81079	86253	91161	
