g1	g2	g3	g4	g5	g6	g7	g8	g9	g10	g11	
28336	37777	39051	42045	43744	44529	45139	46737	47907	48223	48223	
28512	35498	38194	41912	44572	46431	46965	47764	47996	48223	48223	
33247	36013	42438	44766	45972	46691	47469	48016	48191	48223	48223	
25167	37862	41078	43634	44941	46374	46845	47606	47845	48223	48223	
25228	35499	39417	41720	43520	45180	46654	47747	47920	48223	48223	
28336	34133	39006	44020	45758	46769	47459	47848	48150	48223	48223	
33247	37929	39961	42062	43305	45878	47459	47891	48196	48223	48223	
25228	31780	38901	43113	45051	46560	47459	47627	48055	48223	48223	
31112	35499	41451	43906	45041	45769	46664	47709	48105	48223	48223	
28336	39369	42630	44411	45417	46055	46895	47372	48144	48223	48223	
