g1	g2	g3	g4	g5	g6	g7	g8	g9	g10	g11	
35419	22962	16944	12875	11387	10716	8804	8512	8315	8196	8052	
28659	15009	12890	12163	11732	10769	8843	8670	8535	8340	8052	
28659	17299	16080	14993	13018	10895	8950	8723	8506	8196	8052	
33903	24801	16516	15742	12843	12203	9958	9817	9653	8943	8052	
39590	23038	16200	12753	11938	9604	8911	8657	8459	8340	8052	
35419	17166	12421	11238	10771	9559	9280	9025	8268	8149	8052	
33903	25151	19643	18002	17213	15018	13611	13190	11574	9756	8052	
31710	21919	15808	14936	14356	13676	12791	10105	8962	8340	8052	
39590	22962	16944	12875	10387	9954	9672	9489	9136	8224	8052	
31710	16627	15576	13384	12188	10921	10470	10198	9975	9756	8052	
