g1	g2	g3	g4	g5	g6	g7	g8	g9	g10	g11	
27048	22962	16944	12875	11387	10716	8804	8512	8315	8196	8052	
27048	20600	15826	12816	12475	11075	8911	8689	8491	8340	8052	
27048	22962	19816	18672	13909	12741	10249	9978	8933	8745	8052	
22574	18124	16473	12639	12096	11798	10537	9938	8888	8745	8052	
31945	21513	19491	15811	13849	13103	10662	8928	8750	8149	8052	
31945	19076	16944	12875	11989	11561	10321	10082	9870	9491	8052	
21435	17045	15373	12114	11297	10851	10594	10140	9910	8159	8052	
24054	19656	17922	13372	12645	12325	10055	9817	9653	8943	8052	
27659	17591	16059	13827	13009	12073	11202	9841	8315	8149	8052	
32531	25779	19230	14152	13678	11993	11619	9392	9211	8340	8052	
