g1	g2	g3	g4	g5	g6	g7	g8	g9	g10	g11	
35419	52047	63542	70968	76860	83778	91844	97071	101864	106040	110289	
28659	45506	55470	64196	70425	79925	88197	92832	100697	104043	110289	
28659	46779	59753	67718	72649	83626	91612	95980	99729	106040	110289	
33903	44333	56931	63593	72489	79232	84568	89168	97523	106238	110289	
39590	48262	60197	69226	75703	81561	90569	95957	100162	104043	110289	
35419	48287	57274	64841	73077	78596	84070	87979	98497	106452	110289	
33903	44670	51679	61712	66745	73636	82788	87433	98078	105684	110289	
31710	45022	52242	59310	64069	73066	76759	84690	95604	104043	110289	
39590	52047	63542	70968	79476	86330	91905	96417	102778	107026	110289	
31710	45117	57800	65322	75086	85785	92721	98333	102264	105684	110289	
