g1	g2	g3	g4	g5	g6	g7	g8	g9	g10	g11	
27048	36031	37105	39926	41767	42439	43045	45009	46415	46754	46754	
27048	37088	38345	40198	42814	43719	44753	46219	46696	46754	46754	
27048	36031	41401	43615	44671	45234	45880	46591	46722	46754	46754	
22574	36981	40786	42440	43735	44689	46175	46407	46684	46754	46754	
31945	34859	39973	40980	42813	44508	45316	45697	46603	46754	46754	
31945	34304	37105	39926	43491	45123	45586	46528	46664	46754	46754	
21435	32049	35643	38024	43049	44892	45992	46268	46610	46754	46754	
24054	35380	40221	42005	42760	44208	45154	45700	46410	46754	46754	
27659	34122	39354	41100	44126	45516	45927	46184	46415	46754	46754	
32531	37734	41485	43229	44841	45628	46162	46497	46622	46754	46754	
