genomes	oryza_sativa	oryza_indica	oryza_brachyantha	oryza_meridionalis	oryza_glaberrima	oryza_punctata	oryza_longistaminata	oryza_barthii	oryza_nivara	oryza_rufipogon	oryza_glumipatula
oryza_sativa	100	62.20	54.71	54.40	62.35	60.10	53.26	59.62	60.16	60.93	59.96
oryza_indica	62.20	100	53.64	58.72	65.41	62.20	57.27	64.80	68.26	66.29	65.87
oryza_brachyantha	54.71	53.64	100	49.74	54.36	57.66	51.22	54.12	53.03	53.24	53.77
oryza_meridionalis	54.40	58.72	49.74	100	58.15	59.57	51.25	59.55	61.69	60.49	61.68
oryza_glaberrima	62.35	65.41	54.36	58.15	100	61.44	54.62	67.58	66.33	66.64	65.88
oryza_punctata	60.10	62.20	57.66	59.57	61.44	100	55.70	62.49	63.54	62.65	63.92
oryza_longistaminata	53.26	57.27	51.22	51.25	54.62	55.70	100	56.70	55.38	54.65	55.71
oryza_barthii	59.62	64.80	54.12	59.55	67.58	62.49	56.70	100	71.49	72.61	70.98
oryza_nivara	60.16	68.26	53.03	61.69	66.33	63.54	55.38	71.49	100	75.27	72.73
oryza_rufipogon	60.93	66.29	53.24	60.49	66.64	62.65	54.65	72.61	75.27	100	71.58
oryza_glumipatula	59.96	65.87	53.77	61.68	65.88	63.92	55.71	70.98	72.73	71.58	100
