
# ignored species : 2

# ../ens_synthelogs.pl -d Plants -c Brassicaceae -r arabidopsis_thaliana -o  -f  -a 1 -t protein -G 75 -L 0

# supported species in NCBI taxon Brassicaceae : 4

# total selected species : 4

# re-using /homes/bcontreras/plant_tools/compara/downloads/Compara.100.protein_default.homologies.arabidopsis_thaliana.tsv.gz

# re-using /homes/bcontreras/plant_tools/compara/downloads/Arabidopsis_thaliana.TAIR10.47.gtf.gz

gene	location	arabidopsis_lyrata	brassica_rapa	brassica_oleracea	arabidopsis_thaliana
AT1G01020	1:6788-9130:-	fgenesh2_kg.1__135__AT1G01020.1	Bra033295.1-P	Bo5g002800.1	AT1G01020.1
AT1G01030	1:11649-13714:-	fgenesh2_kg.1__134__AT1G01030.1	Bra033294.1-P	Bo5g002790.1	AT1G01030.1
AT1G01040	1:23121-31227:+	fgenesh1_pg.C_scaffold_1000116	Bra033293.1-P	Bo5g002780.1	AT1G01040.2
AT1G01050	1:31170-33171:-	Al_scaffold_0001_128	Bra033292.1-P	Bo5g002770.1	AT1G01050.1
AT1G01060	1:33365-37871:-	fgenesh2_kg.1__131__AT1G01060.3	Bra033291.1-P	Bo5g002760.1	AT1G01060.7
AT1G01070	1:38444-41017:-	scaffold_100145.1	NA	NA	AT1G01070.1
AT1G01080	1:44970-47059:-	Al_scaffold_0001_125	Bra033287.1-P	Bo5g002730.1	AT1G01080.2
AT1G01090	1:47234-49304:-	fgenesh2_kg.1__125__AT1G01090.1	Bra033286.1-P	Bo5g002720.1	AT1G01090.1
AT1G01100	1:49909-51210:-	fgenesh1_pm.C_scaffold_1000104	NA	NA	AT1G01100.2
AT1G01110	1:51953-54737:+	fgenesh1_pg.C_scaffold_1000109	Bra033284.1-P	Bo5g002700.1	AT1G01110.2
AT1G01120	1:57164-59215:-	scaffold_100139.1	Bra033283.1-P,Bra032621.1-P	Bo5g002690.1,Bo8g117680.1	AT1G01120.1
AT1G01130	1:61905-63811:-	fgenesh1_pm.C_scaffold_1000101	NA	NA	AT1G01130.1
AT1G01140	1:64166-67774:-	fgenesh2_kg.1__115__AT1G01140.3	Bra033282.1-P,Bra032622.1-P	Bo8g117700.1,Bo5g002680.1	AT1G01140.3
AT1G01150	1:69911-72138:-	scaffold_100136.1	NA	NA	AT1G01150.1
AT1G01160	1:72339-74096:+	scaffold_100135.1	Bra033281.1-P	Bo5g002670.1	AT1G01160.2
AT1G01170	1:73931-74737:-	fgenesh1_pm.C_scaffold_1000097	Bra033280.1-P	Bo5g002660.1	AT1G01170.1
AT1G01180	1:75390-76845:+	Al_scaffold_0001_114	Bra033279.1-P	Bo5g002650.1	AT1G01180.1
AT1G01190	1:82984-84946:-	fgenesh1_pm.C_scaffold_1000095	Bra033278.1-P	Bo5g002640.1	AT1G01190.2
AT1G01200	1:86486-88409:-	fgenesh2_kg.1__110__AT1G01200.1	NA	NA	AT1G01200.1
AT1G01210	1:88622-90502:+	fgenesh1_pm.C_scaffold_1000093	NA	NA	AT1G01210.3
AT1G01220	1:91342-95681:+	fgenesh2_kg.1__109__AT1G01220.1	Bra032626.1-P	Bo8g117760.1	AT1G01220.1
