source:Oryza/oryzasativa_Oryza_algEnsemblCompara_nosingles	oryza_sativa	oryza_indica	oryza_brachyantha	oryza_meridionalis	oryza_glaberrima	oryza_punctata	oryza_longistaminata	oryza_barthii	oryza_nivara	oryza_rufipogon	oryza_glumipatula	
Os01t0100100-01.faa	1	1	1	0	0	1	1	1	1	1	1	
Os01t0100200-01.faa	1	1	0	2	0	0	0	1	1	0	1	
Os01t0100300-00.faa	1	1	1	2	0	1	0	1	2	1	0	
Os01t0100400-01.faa	1	1	1	0	0	1	1	1	1	1	1	
Os01t0100500-01.faa	1	1	1	0	0	1	1	1	0	0	0	
Os01t0100600-01.faa	1	1	1	0	0	1	1	1	1	1	1	
Os01t0100700-01.faa	1	1	1	0	0	1	0	1	1	0	0	
Os01t0100800-01.faa	1	1	1	1	0	1	1	1	1	1	1	
Os01t0100900-01.faa	1	1	1	0	1	1	2	1	1	1	1	
Os01t0101150-00.faa	1	1	2	0	1	1	1	1	1	1	1	
Os01t0101200-01.faa	1	1	1	0	1	0	1	1	0	0	0	
Os01t0101300-01.faa	1	1	1	0	1	1	1	1	1	1	1	
Os01t0101600-01.faa	1	1	1	0	1	1	1	1	1	1	1	
Os01t0101700-00.faa	1	1	0	0	1	1	0	1	1	0	1	
Os01t0101800-01.faa	1	1	1	0	1	1	1	1	1	1	1	
Os01t0101900-00.faa	1	1	1	0	1	1	1	1	1	1	1	
Os01t0102000-01.faa	1	1	1	0	1	1	1	1	1	1	1	
Os01t0102300-01.faa	1	1	1	0	1	1	1	1	1	1	1	
Os01t0102400-01.faa	1	1	1	0	1	0	1	1	1	1	0	
Os01t0102500-01.faa	1	1	1	0	1	1	0	2	2	1	1	
Os01t0102600-01.faa	1	1	1	0	1	1	0	1	0	0	0	
Os01t0102700-01.faa	1	0	1	0	1	1	0	0	1	0	0	
Os01t0102800-01.faa	1	1	1	0	1	1	1	1	1	1	1	
Os01t0102900-01.faa	1	1	1	0	1	1	1	1	0	1	1	
Os01t0103000-01.faa	1	1	1	0	1	1	1	1	1	1	1	
Os01t0103100-01.faa	1	1	1	0	1	1	1	1	1	1	1	
Os01t0103600-02.faa	1	1	2	0	1	1	0	1	1	1	1	
Os01t0103800-01.faa	1	1	1	0	1	1	1	1	1	1	1	
Os01t0103900-01.faa	1	1	1	0	1	1	1	1	1	1	1	
Os01t0104000-01.faa	1	1	1	0	1	1	1	1	1	1	1	
Os01t0104100-01.faa	1	1	1	0	1	1	1	1	0	1	1	
Os01t0104200-00.faa	1	2	0	0	0	1	1	1	1	1	1	
Os01t0104400-01.faa	1	1	1	0	1	1	1	1	1	1	1	
Os01t0104500-01.faa	1	1	1	1	0	1	1	1	1	1	1	
Os01t0104600-01.faa	1	1	1	3	1	1	3	2	2	2	2	
Os01t0104800-01.faa	1	1	1	0	1	1	1	1	0	1	2	
Os01t0104900-01.faa	1	1	1	0	1	1	1	1	0	1	1	
Os01t0105400-01.faa	1	0	0	0	0	0	1	0	0	0	1	
Os01t0105700-01.faa	1	1	1	0	1	1	1	1	1	1	1	
