block	interval	genes	%synthelogs	arabidopsis_lyrata	brassica_rapa	brassica_oleracea	arabidopsis_thaliana
S	[AT5G32470,AT5G42110]	881	54.8	456	234	237	483
F	[AT3G01015,AT3G25520]	3118	74.7	2195	1701	1637	2329
T	[AT4G12700,AT4G16240]	522	66.1	332	172	163	345
E	[AT1G64960,AT1G80950]	1993	73.4	1388	1066	1043	1463
V	[AT5G42130,AT5G47810]	727	74.1	517	324	301	539
Q	[AT5G23010,AT5G30510]	720	61.0	407	297	297	439
C	[AT1G43020,AT1G56190]	1314	64.6	796	461	426	849
KL1	[AT2G01060,AT2G05160]	479	62.8	285	196	186	301
A	[AT1G01010,AT1G19840]	2388	75.6	1707	1318	1326	1806
J	[AT2G31040,AT2G48150]	2218	74.1	1574	1220	1168	1644
KL2	[AT3G25540,AT3G32960]	693	54.8	359	239	230	380
O	[AT4G00026,AT4G05450]	705	59.1	391	267	257	417
W	[AT5G47820,AT5G60800]	1613	74.0	1134	784	777	1194
X	[AT5G60805,AT5G67640]	865	78.7	651	517	504	681
P	[AT4G07390,AT4G12620]	609	54.8	317	134	122	334
MN	[AT3G42180,AT3G63530]	2595	68.1	1687	1145	1083	1767
B	[AT1G19850,AT1G37130]	1932	63.0	1137	784	758	1218
H	[AT2G10940,AT2G20900]	903	60.5	519	290	295	546
D	[AT1G56210,AT1G64670]	945	58.1	524	263	273	549
R	[AT5G01010,AT5G23000]	2541	77.1	1882	1471	1452	1959
I	[AT2G20920,AT2G31035]	1240	71.5	855	495	486	887
G	[AT2G05170,AT2G07690]	274	20.8	57	15	15	57
U	[AT4G16250,AT4G40100]	3039	75.2	2147	1712	1665	2285
noblock	[NA,NA]	0	NA	65	10	13	68
