source:Oryza_pangenes/oryzasativa_plus_oryza_nivara_oryza_sativa_algEnsemblCompara_chrpos_WGA75	oryza_sativa	oryza_indica	oryza_nivara	
chr6	NA	NA	NA	
ONIVA06G26980.1.faa	0	0	1	
ONIVA06G26990.1.faa	0	0	1	
ONIVA06G27000.1.faa	0	0	1	
ONIVA06G27010.3.faa	0	0	1	
BGIOSGA028317-PA.faa	0	1	1	
ONIVA06G26930.1.faa	0	0	1	
BGIOSGA028319-PA.faa	0	2	1	
ONIVA06G26850.1.faa	0	0	1	
BGIOSGA015309-PA.faa	0	1	1	
ONIVA06G26800.1.faa	0	0	1	
ONIVA06G26270.1.faa	0	0	1	
BGIOSGA032449-PA.faa	0	1	1	
ONIVA06G25670.1.faa	0	0	1	
ONIVA06G25600.1.faa	0	0	1	
BGIOSGA027433-PA.faa	0	1	1	
BGIOSGA027434-PA.faa	0	1	1	
BGIOSGA020886-PA.faa	0	1	1	
ONIVA06G24950.1.faa	0	0	1	
ONIVA06G24960.1.faa	0	0	1	
ONIVA06G24970.1.faa	0	0	1	
ONIVA06G24890.1.faa	0	0	1	
BGIOSGA027429-PA.faa	0	1	1	
BGIOSGA020943-PA.faa	0	1	1	
BGIOSGA001802-PA.faa	0	1	1	
ONIVA06G23280.1.faa	0	0	1	
ONIVA06G22070.1.faa	0	0	1	
ONIVA06G22050.1.faa	0	0	1	
BGIOSGA028063-PA.faa	0	1	1	
BGIOSGA008653-PA.faa	0	1	1	
ONIVA06G21890.2.faa	0	0	1	
ONIVA06G21900.1.faa	0	0	1	
ONIVA06G21910.1.faa	0	0	1	
ONIVA06G21920.1.faa	0	0	1	
BGIOSGA035527-PA.faa	0	1	1	
BGIOSGA033733-PA.faa	0	1	1	
ONIVA06G20590.1.faa	0	0	1	
ONIVA06G20410.1.faa	0	0	1	
ONIVA06G20140.1.faa	0	0	1	
ONIVA06G20150.1.faa	0	0	1	
BGIOSGA006052-PA.faa	0	1	1	
ONIVA06G20080.1.faa	0	0	1	
BGIOSGA006051-PA.faa	0	1	1	
BGIOSGA008619-PA.faa	0	1	1	
ONIVA06G19530.1.faa	0	0	1	
ONIVA06G18320.1.faa	0	0	1	
ONIVA06G18280.1.faa	0	0	1	
ONIVA06G18250.1.faa	0	0	1	
ONIVA06G18230.1.faa	0	0	1	
ONIVA06G17420.1.faa	0	0	1	
ONIVA06G17430.1.faa	0	0	1	
ONIVA06G17440.1.faa	0	0	1	
ONIVA06G17450.1.faa	0	0	1	
ONIVA06G17460.1.faa	0	0	1	
BGIOSGA022886-PA.faa	0	1	1	
BGIOSGA022887-PA.faa	0	1	1	
ONIVA06G17490.1.faa	0	0	1	
ONIVA06G17250.1.faa	0	0	1	
BGIOSGA028612-PA.faa	0	1	1	
ONIVA06G17270.1.faa	0	0	1	
ONIVA06G17280.1.faa	0	0	1	
BGIOSGA028610-PA.faa	0	1	1	
BGIOSGA027035-PA.faa	0	1	1	
ONIVA06G16950.1.faa	0	0	1	
ONIVA06G16960.1.faa	0	0	1	
ONIVA06G16970.1.faa	0	0	1	
ONIVA06G16980.1.faa	0	0	1	
BGIOSGA015285-PA.faa	0	1	1	
ONIVA06G17000.1.faa	0	0	1	
ONIVA06G17010.1.faa	0	0	1	
ONIVA06G16820.1.faa	0	0	1	
ONIVA06G16830.1.faa	0	0	1	
BGIOSGA021290-PA.faa	0	1	1	
BGIOSGA026114-PA.faa	0	1	1	
BGIOSGA026110-PA.faa	0	1	1	
ONIVA06G16700.1.faa	0	0	1	
ONIVA06G16660.1.faa	0	0	1	
ONIVA06G16370.1.faa	0	0	1	
ONIVA06G16380.1.faa	0	0	1	
BGIOSGA030549-PA.faa	0	1	1	
BGIOSGA029954-PA.faa	0	1	1	
BGIOSGA021303-PA.faa	0	1	1	
ONIVA06G16420.1.faa	0	0	1	
ONIVA06G16430.1.faa	0	0	1	
BGIOSGA022848-PA.faa	0	1	1	
ONIVA06G16450.1.faa	0	0	1	
BGIOSGA029953-PA.faa	0	1	1	
ONIVA06G16320.1.faa	0	0	1	
ONIVA06G16130.1.faa	0	0	1	
ONIVA06G16140.1.faa	0	0	1	
ONIVA06G16150.1.faa	0	0	1	
ONIVA06G16160.1.faa	0	0	1	
ONIVA06G16170.1.faa	0	0	1	
BGIOSGA021310-PA.faa	0	1	1	
BGIOSGA022825-PA.faa	0	1	1	
ONIVA06G15860.1.faa	0	0	1	
ONIVA06G15790.1.faa	0	0	1	
BGIOSGA002990-PA.faa	0	1	1	
ONIVA06G14840.1.faa	0	0	1	
BGIOSGA035691-PA.faa	0	1	1	
BGIOSGA033560-PA.faa	0	1	1	
ONIVA06G14520.1.faa	0	0	1	
ONIVA06G14440.1.faa	0	0	1	
BGIOSGA033556-PA.faa	0	1	1	
ONIVA06G14370.1.faa	0	0	1	
ONIVA06G14000.1.faa	0	0	1	
BGIOSGA003475-PA.faa	0	1	1	
ONIVA06G12800.1.faa	0	0	1	
BGIOSGA003474-PA.faa	0	1	1	
