source:Oryza_pangenes/oryzasativa_plus_oryza_nivara_oryza_sativa_algEnsemblCompara_chrpos_WGA75	oryza_sativa	oryza_indica	oryza_nivara	
chr6	NA	NA	NA	
ONIVA06G26980.1.faa	-	-	ONIVA06G26980.1	
ONIVA06G26990.1.faa	-	-	ONIVA06G26990.1	
ONIVA06G27000.1.faa	-	-	ONIVA06G27000.1	
ONIVA06G27010.3.faa	-	-	ONIVA06G27010.3	
BGIOSGA028317-PA.faa	-	BGIOSGA028317-PA	ONIVA06G26950.1	
ONIVA06G26930.1.faa	-	-	ONIVA06G26930.1	
BGIOSGA028319-PA.faa	-	BGIOSGA028319-PA,BGIOSGA028320-PA	ONIVA06G26900.1	
ONIVA06G26850.1.faa	-	-	ONIVA06G26850.1	
BGIOSGA015309-PA.faa	-	BGIOSGA015309-PA	ONIVA06G26820.1	
ONIVA06G26800.1.faa	-	-	ONIVA06G26800.1	
ONIVA06G26270.1.faa	-	-	ONIVA06G26270.1	
BGIOSGA032449-PA.faa	-	BGIOSGA032449-PA	ONIVA06G25660.1	
ONIVA06G25670.1.faa	-	-	ONIVA06G25670.1	
ONIVA06G25600.1.faa	-	-	ONIVA06G25600.1	
BGIOSGA027433-PA.faa	-	BGIOSGA027433-PA	ONIVA06G24920.1	
BGIOSGA027434-PA.faa	-	BGIOSGA027434-PA	ONIVA06G24930.1	
BGIOSGA020886-PA.faa	-	BGIOSGA020886-PA	ONIVA06G24940.1	
ONIVA06G24950.1.faa	-	-	ONIVA06G24950.1	
ONIVA06G24960.1.faa	-	-	ONIVA06G24960.1	
ONIVA06G24970.1.faa	-	-	ONIVA06G24970.1	
ONIVA06G24890.1.faa	-	-	ONIVA06G24890.1	
BGIOSGA027429-PA.faa	-	BGIOSGA027429-PA	ONIVA06G24860.1	
BGIOSGA020943-PA.faa	-	BGIOSGA020943-PA	ONIVA06G23710.1	
BGIOSGA001802-PA.faa	-	BGIOSGA001802-PA	ONIVA06G23270.1	
ONIVA06G23280.1.faa	-	-	ONIVA06G23280.1	
ONIVA06G22070.1.faa	-	-	ONIVA06G22070.1	
ONIVA06G22050.1.faa	-	-	ONIVA06G22050.1	
BGIOSGA028063-PA.faa	-	BGIOSGA028063-PA	ONIVA06G22020.2	
BGIOSGA008653-PA.faa	-	BGIOSGA008653-PA	ONIVA06G21970.1	
ONIVA06G21890.2.faa	-	-	ONIVA06G21890.2	
ONIVA06G21900.1.faa	-	-	ONIVA06G21900.1	
ONIVA06G21910.1.faa	-	-	ONIVA06G21910.1	
ONIVA06G21920.1.faa	-	-	ONIVA06G21920.1	
BGIOSGA035527-PA.faa	-	BGIOSGA035527-PA	ONIVA06G20840.1	
BGIOSGA033733-PA.faa	-	BGIOSGA033733-PA	ONIVA06G20810.1	
ONIVA06G20590.1.faa	-	-	ONIVA06G20590.1	
ONIVA06G20410.1.faa	-	-	ONIVA06G20410.1	
ONIVA06G20140.1.faa	-	-	ONIVA06G20140.1	
ONIVA06G20150.1.faa	-	-	ONIVA06G20150.1	
BGIOSGA006052-PA.faa	-	BGIOSGA006052-PA	ONIVA06G20100.1	
ONIVA06G20080.1.faa	-	-	ONIVA06G20080.1	
BGIOSGA006051-PA.faa	-	BGIOSGA006051-PA	ONIVA06G20060.1	
BGIOSGA008619-PA.faa	-	BGIOSGA008619-PA	ONIVA06G20030.1	
ONIVA06G19530.1.faa	-	-	ONIVA06G19530.1	
ONIVA06G18320.1.faa	-	-	ONIVA06G18320.1	
ONIVA06G18280.1.faa	-	-	ONIVA06G18280.1	
ONIVA06G18250.1.faa	-	-	ONIVA06G18250.1	
ONIVA06G18230.1.faa	-	-	ONIVA06G18230.1	
ONIVA06G17420.1.faa	-	-	ONIVA06G17420.1	
ONIVA06G17430.1.faa	-	-	ONIVA06G17430.1	
ONIVA06G17440.1.faa	-	-	ONIVA06G17440.1	
ONIVA06G17450.1.faa	-	-	ONIVA06G17450.1	
ONIVA06G17460.1.faa	-	-	ONIVA06G17460.1	
BGIOSGA022886-PA.faa	-	BGIOSGA022886-PA	ONIVA06G17470.1	
BGIOSGA022887-PA.faa	-	BGIOSGA022887-PA	ONIVA06G17480.1	
ONIVA06G17490.1.faa	-	-	ONIVA06G17490.1	
ONIVA06G17250.1.faa	-	-	ONIVA06G17250.1	
BGIOSGA028612-PA.faa	-	BGIOSGA028612-PA	ONIVA06G17260.1	
ONIVA06G17270.1.faa	-	-	ONIVA06G17270.1	
ONIVA06G17280.1.faa	-	-	ONIVA06G17280.1	
BGIOSGA028610-PA.faa	-	BGIOSGA028610-PA	ONIVA06G17180.1	
BGIOSGA027035-PA.faa	-	BGIOSGA027035-PA	ONIVA06G17120.1	
ONIVA06G16950.1.faa	-	-	ONIVA06G16950.1	
ONIVA06G16960.1.faa	-	-	ONIVA06G16960.1	
ONIVA06G16970.1.faa	-	-	ONIVA06G16970.1	
ONIVA06G16980.1.faa	-	-	ONIVA06G16980.1	
BGIOSGA015285-PA.faa	-	BGIOSGA015285-PA	ONIVA06G16990.1	
ONIVA06G17000.1.faa	-	-	ONIVA06G17000.1	
ONIVA06G17010.1.faa	-	-	ONIVA06G17010.1	
ONIVA06G16820.1.faa	-	-	ONIVA06G16820.1	
ONIVA06G16830.1.faa	-	-	ONIVA06G16830.1	
BGIOSGA021290-PA.faa	-	BGIOSGA021290-PA	ONIVA06G16840.1	
BGIOSGA026114-PA.faa	-	BGIOSGA026114-PA	ONIVA06G16760.1	
BGIOSGA026110-PA.faa	-	BGIOSGA026110-PA	ONIVA06G16720.1	
ONIVA06G16700.1.faa	-	-	ONIVA06G16700.1	
ONIVA06G16660.1.faa	-	-	ONIVA06G16660.1	
ONIVA06G16370.1.faa	-	-	ONIVA06G16370.1	
ONIVA06G16380.1.faa	-	-	ONIVA06G16380.1	
BGIOSGA030549-PA.faa	-	BGIOSGA030549-PA	ONIVA06G16390.1	
BGIOSGA029954-PA.faa	-	BGIOSGA029954-PA	ONIVA06G16400.1	
BGIOSGA021303-PA.faa	-	BGIOSGA021303-PA	ONIVA06G16410.1	
ONIVA06G16420.1.faa	-	-	ONIVA06G16420.1	
ONIVA06G16430.1.faa	-	-	ONIVA06G16430.1	
BGIOSGA022848-PA.faa	-	BGIOSGA022848-PA	ONIVA06G16440.1	
ONIVA06G16450.1.faa	-	-	ONIVA06G16450.1	
BGIOSGA029953-PA.faa	-	BGIOSGA029953-PA	ONIVA06G16340.1	
ONIVA06G16320.1.faa	-	-	ONIVA06G16320.1	
ONIVA06G16130.1.faa	-	-	ONIVA06G16130.1	
ONIVA06G16140.1.faa	-	-	ONIVA06G16140.1	
ONIVA06G16150.1.faa	-	-	ONIVA06G16150.1	
ONIVA06G16160.1.faa	-	-	ONIVA06G16160.1	
ONIVA06G16170.1.faa	-	-	ONIVA06G16170.1	
BGIOSGA021310-PA.faa	-	BGIOSGA021310-PA	ONIVA06G16180.1	
BGIOSGA022825-PA.faa	-	BGIOSGA022825-PA	ONIVA06G15850.1	
ONIVA06G15860.1.faa	-	-	ONIVA06G15860.1	
ONIVA06G15790.1.faa	-	-	ONIVA06G15790.1	
BGIOSGA002990-PA.faa	-	BGIOSGA002990-PA	ONIVA06G15770.1	
ONIVA06G14840.1.faa	-	-	ONIVA06G14840.1	
BGIOSGA035691-PA.faa	-	BGIOSGA035691-PA	ONIVA06G14500.1	
BGIOSGA033560-PA.faa	-	BGIOSGA033560-PA	ONIVA06G14510.1	
ONIVA06G14520.1.faa	-	-	ONIVA06G14520.1	
ONIVA06G14440.1.faa	-	-	ONIVA06G14440.1	
BGIOSGA033556-PA.faa	-	BGIOSGA033556-PA	ONIVA06G14390.1	
ONIVA06G14370.1.faa	-	-	ONIVA06G14370.1	
ONIVA06G14000.1.faa	-	-	ONIVA06G14000.1	
BGIOSGA003475-PA.faa	-	BGIOSGA003475-PA	ONIVA06G12780.1	
ONIVA06G12800.1.faa	-	-	ONIVA06G12800.1	
BGIOSGA003474-PA.faa	-	BGIOSGA003474-PA	ONIVA06G12760.1	
ONIVA06G12100.1.faa	-	-	ONIVA06G12100.1	
ONIVA06G12110.1.faa	-	-	ONIVA06G12110.1	
ONIVA06G12120.1.faa	-	-	ONIVA06G12120.1	
ONIVA06G12130.1.faa	-	-	ONIVA06G12130.1	
ONIVA06G12140.1.faa	-	-	ONIVA06G12140.1	
ONIVA06G12070.1.faa	-	-	ONIVA06G12070.1	
ONIVA06G11940.1.faa	-	-	ONIVA06G11940.1	
ONIVA06G11920.1.faa	-	-	ONIVA06G11920.1	
ONIVA06G11890.1.faa	-	-	ONIVA06G11890.1	
ONIVA06G11870.1.faa	-	-	ONIVA06G11870.1	
ONIVA06G10630.1.faa	-	-	ONIVA06G10630.1	
ONIVA06G10640.1.faa	-	-	ONIVA06G10640.1	
BGIOSGA022617-PA.faa	-	BGIOSGA022617-PA	ONIVA06G10650.1	
ONIVA06G10660.1.faa	-	-	ONIVA06G10660.1	
ONIVA06G10590.1.faa	-	-	ONIVA06G10590.1	
BGIOSGA001760-PA.faa	-	BGIOSGA001760-PA	ONIVA06G10550.1	
BGIOSGA001758-PA.faa	-	BGIOSGA001758-PA	ONIVA06G10530.1	
BGIOSGA001756-PA.faa	-	BGIOSGA001756-PA	ONIVA06G10480.1	
BGIOSGA003406-PA.faa	-	BGIOSGA003406-PA	ONIVA06G10460.1	
ONIVA06G10430.1.faa	-	-	ONIVA06G10430.1	
BGIOSGA001749-PA.faa	-	BGIOSGA001749-PA	ONIVA06G10410.1	
BGIOSGA003411-PA.faa	-	BGIOSGA003411-PA	ONIVA06G10350.1	
ONIVA06G10290.1.faa	-	-	ONIVA06G10290.1	
ONIVA06G09920.1.faa	-	-	ONIVA06G09920.1	
ONIVA06G09900.1.faa	-	-	ONIVA06G09900.1	
ONIVA06G07970.1.faa	-	-	ONIVA06G07970.1	
ONIVA06G07940.1.faa	-	-	ONIVA06G07940.1	
ONIVA06G07890.1.faa	-	-	ONIVA06G07890.1	
ONIVA06G07860.4.faa	-	-	ONIVA06G07860.4	
ONIVA06G07660.1.faa	-	-	ONIVA06G07660.1	
ONIVA06G07670.1.faa	-	-	ONIVA06G07670.1	
BGIOSGA001027-PA.faa	-	BGIOSGA001027-PA	ONIVA06G07630.1	
