source:Brassicaceae/arabidopsisthaliana_Brassicaceae_algEnsemblCompara	arabidopsis_thaliana	arabidopsis_lyrata	brassica_rapa	brassica_oleracea	brassica_napus	arabidopsis_halleri	
ATMG00070.1.faa	1	0	0	1	1	0	
ATMG00120.1.faa	1	1	0	0	0	0	
ATMG00150.1.faa	1	2	0	0	0	0	
ATMG00160.1.faa	1	1	0	0	0	0	
ATMG00180.1.faa	1	0	0	1	0	0	
ATMG00290.1.faa	1	0	0	1	0	0	
ATMG00370.1.faa	2	1	0	0	1	0	
ATMG00510.1.faa	1	0	0	1	0	0	
ATMG00520.1.faa	1	0	0	1	0	0	
ATMG00530.1.faa	2	1	0	0	0	0	
ATMG00540.1.faa	2	1	0	0	0	0	
ATMG00560.1.faa	2	1	0	2	1	0	
ATMG00570.1.faa	1	1	0	0	0	0	
ATMG00580.1.faa	1	1	0	0	0	0	
ATMG00640.1.faa	1	2	0	1	2	0	
ATMG00650.1.faa	1	1	0	0	2	0	
ATMG00730.1.faa	2	1	0	0	2	0	
ATMG00760.1.faa	1	1	0	0	0	0	
ATMG00770.1.faa	1	1	0	1	1	0	
ATMG00830.1.faa	1	1	0	0	2	0	
ATMG00880.1.faa	1	1	0	0	0	1	
ATMG00890.1.faa	1	1	0	0	0	0	
ATMG00900.1.faa	3	1	0	0	1	0	
ATMG00920.1.faa	2	1	0	0	0	0	
ATMG00940.1.faa	1	1	0	0	0	1	
ATMG00960.1.faa	2	1	0	0	1	0	
ATMG00970.1.faa	2	1	0	0	1	0	
ATMG00980.1.faa	2	1	0	0	0	0	
ATMG00990.1.faa	2	1	0	0	0	0	
ATMG01010.1.faa	2	1	0	0	0	0	
ATMG01030.1.faa	2	1	0	0	0	0	
ATMG01080.1.faa	1	1	0	1	0	0	
ATMG01110.1.faa	2	0	0	3	1	0	
ATMG01190.1.faa	1	1	0	1	0	0	
ATMG01220.1.faa	1	0	0	1	0	0	
ATMG01270.1.faa	2	1	0	0	0	0	
ATMG01275.1.faa	1	0	0	1	0	0	
ATCG00040.1.faa	1	1	0	0	0	0	
ATCG00050.1.faa	1	1	0	0	1	0	
ATCG00070.1.faa	1	1	0	0	0	0	
ATCG00120.1.faa	1	1	0	0	0	0	
ATCG00130.1.faa	1	1	0	0	1	0	
ATCG00140.1.faa	1	1	0	1	2	0	
ATCG00150.1.faa	1	1	0	0	0	0	
ATCG00160.1.faa	1	1	1	0	2	0	
ATCG00170.1.faa	1	1	0	0	2	0	
ATCG00180.1.faa	1	1	0	0	1	0	
ATCG00190.1.faa	1	1	0	1	3	0	
ATCG00270.1.faa	1	3	0	1	0	0	
ATCG00280.1.faa	1	3	0	1	4	0	
ATCG00300.1.faa	1	1	0	0	0	0	
ATCG00330.1.faa	1	2	0	0	0	0	
ATCG00340.1.faa	1	2	0	0	3	0	
ATCG00350.1.faa	1	1	0	0	0	0	
ATCG00360.1.faa	1	1	0	0	4	0	
ATCG00380.1.faa	1	2	0	1	0	0	
ATCG00420.1.faa	1	2	0	0	1	0	
ATCG00430.1.faa	1	3	0	1	3	0	
ATCG00440.1.faa	1	3	0	1	4	0	
ATCG00480.1.faa	1	3	0	1	4	0	
ATCG00490.1.faa	1	2	0	1	0	1	
ATCG00500.1.faa	1	2	0	0	4	0	
ATCG00510.1.faa	1	1	0	1	8	0	
ATCG00520.1.faa	1	1	0	0	5	0	
ATCG00530.1.faa	1	2	0	0	0	0	
ATCG00540.1.faa	1	2	1	1	7	0	
ATCG00580.1.faa	1	1	1	0	0	0	
ATCG00640.1.faa	1	2	0	1	0	0	
ATCG00650.1.faa	1	2	0	0	0	0	
ATCG00660.1.faa	1	2	1	0	3	0	
ATCG00670.1.faa	1	2	1	1	2	0	
ATCG00680.1.faa	1	2	1	1	0	0	
ATCG00710.1.faa	1	2	0	0	2	0	
ATCG00720.1.faa	1	1	0	0	0	0	
ATCG00730.1.faa	1	2	0	1	2	0	
ATCG00740.1.faa	1	2	1	1	2	0	
ATCG00750.1.faa	1	1	0	0	2	0	
ATCG00770.1.faa	1	2	0	0	0	0	
ATCG00780.1.faa	1	3	1	0	4	0	
ATCG00790.1.faa	1	3	0	0	4	0	
ATCG00800.1.faa	1	2	0	0	3	0	
ATCG00810.1.faa	1	3	0	0	3	0	
ATCG00830.1.faa	2	2	1	1	1	0	
ATCG00840.1.faa	1	1	0	0	0	0	
ATCG00860.1.faa	1	2	0	0	0	0	
ATCG00900.1.faa	1	0	1	1	0	0	
ATCG00905.1.faa	1	0	0	1	2	0	
ATCG01000.1.faa	1	1	0	0	0	0	
ATCG01010.1.faa	1	3	0	0	2	0	
ATCG01020.1.faa	1	1	0	0	0	0	
ATCG01040.1.faa	1	1	0	0	0	0	
ATCG01050.1.faa	1	0	0	2	4	0	
ATCG01060.1.faa	1	1	0	0	1	0	
ATCG01070.1.faa	1	1	0	0	1	0	
ATCG01080.1.faa	1	1	0	0	1	0	
ATCG01090.1.faa	1	1	1	0	4	0	
ATCG01100.1.faa	1	1	0	0	4	0	
