#https://www.ncbi.nlm.nih.gov/pubmed/26945766
A	AT1G01010	AT1G19840	
B	AT1G19850	AT1G37130	
C	AT1G43020	AT1G56190	
D	AT1G56210	AT1G64670	
E	AT1G64960	AT1G80950	
F	AT3G01015	AT3G25520	
G	AT2G05170	AT2G07690	
H	AT2G10940	AT2G20900	
I	AT2G20920	AT2G31035	
J	AT2G31040	AT2G48150	
KL1	AT2G01060	AT2G05160	
KL2	AT3G25540	AT3G32960	
MN	AT3G42180	AT3G63530	
O	AT4G00026	AT4G05450	
P	AT4G07390	AT4G12620	
Q	AT5G23010	AT5G30510	
R	AT5G01010	AT5G23000	
S	AT5G32470	AT5G42110	
T	AT4G12700	AT4G16240	
U	AT4G16250	AT4G40100	
V	AT5G42130	AT5G47810	
W	AT5G47820	AT5G60800	
X	AT5G60805	AT5G67640	
